matrix,M,K,density,seed,direction,direction_label,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
Franz6,7576,3016,0.0005,42,1,A_real x S,segfold-dtonly,5856,69180,,0.185169,0.445312,27,35989,69141,11.813525,24.935792,0.0,208.072234,0.0,212.532445,1.575307,0.010758,0.960895,45456,2155752,69074
Franz6,7576,3016,0.001,42,1,A_real x S,segfold-dtonly,10892,138018,,0.241099,0.496094,161,80324,137916,12.671502,39.548568,0.0,193.9731,0.0,207.812064,1.468509,0.0426,1.289479,87600,4311504,137674
Franz6,7576,3016,0.002,42,1,A_real x S,segfold-dtonly,20721,275524,,0.282667,0.574219,1085,158686,275137,13.296849,49.886299,0.0,183.452053,0.0,204.835336,1.874427,0.130061,1.592684,134688,8623482,274161
Franz6,7576,3016,0.004,42,1,A_real x S,segfold-dtonly,39957,550524,,0.319359,0.625,5372,311620,549090,13.777911,59.085442,0.0,174.141602,0.0,203.23753,2.158445,0.242861,1.732713,226800,17246490,545060
Franz6,7576,3016,0.008,42,1,A_real x S,segfold-dtonly,77710,1101066,,0.346082,0.652344,21465,618047,1095449,14.16891,65.598584,0.0,167.350405,0.0,202.706717,2.298417,0.251795,1.676142,423792,34492980,1079349
Franz6,7576,3016,0.016,42,1,A_real x S,segfold-dtonly,151491,2195170,,0.368651,0.675781,61001,1208202,2173004,14.490432,70.978745,0.0,161.598399,0.0,202.175152,2.355387,0.286149,1.794489,810288,68985960,2109237
Franz6,7576,3016,0.032,42,1,A_real x S,segfold-dtonly,294648,4388142,,0.395734,0.726562,90783,2412571,4300669,14.892828,77.274758,0.0,154.678294,0.0,200.960862,2.406716,0.371528,2.025777,1530480,137971920,4051734
Franz8,16728,7176,0.0005,42,1,A_real x S,segfold-dtonly,29356,360918,,0.234675,0.539062,243,200487,360774,12.294522,38.380876,0.0,195.801165,0.0,206.873348,1.920221,0.062338,1.570718,200496,26931362,360434
Franz8,16728,7176,0.001,42,1,A_real x S,segfold-dtonly,54307,721464,,0.298266,0.644531,1480,409281,720979,13.284917,54.203841,0.0,179.56849,0.0,203.412415,2.079824,0.1811,1.843188,302880,53863770,719661
Franz8,16728,7176,0.002,42,1,A_real x S,segfold-dtonly,105382,1439744,,0.322747,0.679688,7406,822233,1437783,13.662143,60.177345,0.0,173.33538,0.0,203.418003,2.207256,0.184197,1.665683,596496,107727540,1432578
Franz8,16728,7176,0.004,42,1,A_real x S,segfold-dtonly,205438,2873002,,0.344143,0.671875,31151,1630182,2865567,13.984764,65.377579,0.0,167.87955,0.0,203.25083,2.285351,0.249915,1.726652,1109664,215455080,2844413
Franz8,16728,7176,0.008,42,1,A_real x S,segfold-dtonly,405839,5753704,,0.351774,0.703125,100443,3182912,5724025,14.177307,67.055189,0.0,165.93524,1.5e-05,200.54373,2.253026,0.166869,2.317875,2154672,430910160,5639899
Franz8,16728,7176,0.016,42,1,A_real x S,segfold-dtonly,850342,11515318,,0.308514,0.683594,180338,6181317,11397372,13.541984,56.645403,0.0,177.015995,6e-06,197.594448,2.038757,0.057098,3.626727,4177536,861820320,11065418
Franz8,16728,7176,0.032,42,1,A_real x S,segfold-dtonly,1724264,23039484,,0.295289,0.683594,186207,12155488,22570979,13.361924,53.327206,0.0,180.405067,0.0,195.453448,1.92081,0.020611,4.727992,7967424,1723639594,21274054
gemat1,4929,10595,0.0005,42,1,A_real x S,segfold-dtonly,43035,247727,,0.118486,0.445312,1178,153040,246688,5.756408,16.25707,0.0,229.743627,0.0,226.34946,6.204624,0.009388,1.529267,303435,17343243,234383
gemat1,4929,10595,0.001,42,1,A_real x S,segfold-dtonly,85650,493922,,0.140521,0.5,3428,303431,491081,5.766748,19.012096,0.0,227.241074,0.0,226.076754,6.593112,0.167344,1.939428,443153,34686486,457964
gemat1,4929,10595,0.002,42,1,A_real x S,segfold-dtonly,173974,987162,,0.146442,0.546875,11043,602598,979876,5.674193,19.486682,0.0,226.989947,0.001081,226.907182,6.74514,0.262781,2.182516,694363,69372972,900464
gemat1,4929,10595,0.004,42,1,A_real x S,segfold-dtonly,359159,1975405,,0.143568,0.503906,30811,1193104,1955221,5.500085,18.003344,0.0,228.73103,0.001481,227.380592,6.437976,0.293873,2.564458,1180578,138745944,1774705
gemat1,4929,10595,0.008,42,1,A_real x S,segfold-dtonly,731754,3947961,,0.121762,0.515625,58279,2361504,3880295,5.395202,16.450668,0.0,230.384516,0.00481,227.039759,5.815893,0.19531,2.822205,2121134,277491888,3471440
gemat1,4929,10595,0.016,42,1,A_real x S,segfold-dtonly,1463185,7898937,,0.111329,0.535156,72208,4678107,7645922,5.398454,15.967383,0.0,230.852242,0.006385,226.480348,5.474068,0.132093,2.922644,3894648,554983776,6690957
gemat1,4929,10595,0.032,42,1,A_real x S,segfold-dtonly,2894683,15805633,,0.108643,0.542969,85464,9104735,14846832,5.460229,15.787443,0.0,230.896284,0.009583,225.868893,5.142332,0.095853,3.031958,7053067,1109967861,12482431
lp_woodw,1098,8418,0.0005,42,1,A_real x S,segfold-dtonly,63155,158177,,0.053379,0.214844,4358,105325,155431,2.504584,4.9363,0.0,245.939356,0.0,240.133687,5.455166,0.096176,0.542839,1026732,2444739,144771
lp_woodw,1098,8418,0.001,42,1,A_real x S,segfold-dtonly,135096,315389,,0.051279,0.226562,7763,209668,305636,2.334555,4.435253,0.0,246.826375,0.000111,240.615118,5.59232,0.108175,0.578522,1654212,4889547,269417
lp_woodw,1098,8418,0.002,42,1,A_real x S,segfold-dtonly,284332,632294,,0.050399,0.246094,11806,420262,599267,2.223788,3.940183,0.0,247.574628,0.000623,240.897458,6.045327,0.115537,0.547761,2415759,9779025,488609
lp_woodw,1098,8418,0.004,42,1,A_real x S,segfold-dtonly,582391,1261736,,0.051364,0.25,15588,836255,1159722,2.166476,3.670927,0.0,248.039539,0.001047,240.664777,6.509623,0.120678,0.653673,3337932,19558119,855876
lp_woodw,1098,8418,0.008,42,1,A_real x S,segfold-dtonly,1155749,2525262,,0.055753,0.25,19124,1653059,2235581,2.184957,3.684214,0.0,248.073169,0.002503,239.978657,5.903021,0.12128,1.342568,4634686,39116238,1466686
lp_woodw,1098,8418,0.016,42,1,A_real x S,segfold-dtonly,2178286,5047519,,0.0573,0.25,22330,3171026,4209079,2.317198,3.618179,0.0,247.908503,0.005193,238.583613,5.546684,0.101145,1.913674,6527253,78232476,2457643
lp_woodw,1098,8418,0.032,42,1,A_real x S,segfold-dtonly,3848459,10093915,,0.054418,0.28125,25353,5656899,7470867,2.622846,3.645777,0.0,247.212173,0.009212,236.920433,4.526506,0.064172,2.694397,9264575,156464883,3977811
pcb3000,3960,7732,0.0005,42,1,A_real x S,segfold-dtonly,75647,223242,,0.056607,0.320312,4736,148327,220049,2.951102,5.762423,0.0,244.750433,0.007747,235.815657,8.114453,0.028117,0.383915,940827,7413216,195802
pcb3000,3960,7732,0.001,42,1,A_real x S,segfold-dtonly,148957,443888,,0.059956,0.410156,7533,296222,433443,2.979974,6.10119,0.0,244.508798,0.007318,235.392375,8.585545,0.03642,0.434676,1515397,14826432,364843
pcb3000,3960,7732,0.002,42,1,A_real x S,segfold-dtonly,292830,887769,,0.068078,0.402344,12204,591487,853691,3.031687,6.210306,0.0,244.386521,0.013209,234.815265,9.157863,0.054602,0.517925,2409835,29652864,670815
pcb3000,3960,7732,0.004,42,1,A_real x S,segfold-dtonly,575327,1777428,,0.066087,0.433594,20112,1170148,1664499,3.089422,6.135165,0.0,244.384957,0.02128,234.122212,9.707052,0.055608,0.570076,3707063,59305480,1208402
pcb3000,3960,7732,0.008,42,1,A_real x S,segfold-dtonly,1140592,3553997,,0.059736,0.445312,31535,2235389,3158708,3.115923,5.970757,0.0,244.464553,0.03322,233.281406,9.23694,0.039855,1.026494,5591537,118611208,2143302
pcb3000,3960,7732,0.016,42,1,A_real x S,segfold-dtonly,2181051,7110294,,0.058368,0.453125,48299,4013066,5717023,3.260031,5.887606,0.0,244.144502,0.032011,232.030565,8.193048,0.028014,1.713831,8271778,237222168,3741024
pcb3000,3960,7732,0.032,42,1,A_real x S,segfold-dtonly,3989846,14214492,,0.060174,0.480469,57534,7089443,10156764,3.562667,6.078544,0.0,243.08798,0.034298,230.178577,6.164757,0.025014,2.986766,11853068,474444336,6383065
psse1,14318,11028,0.0005,42,1,A_real x S,segfold-dtonly,27567,318674,,0.226795,0.566406,172,167490,318590,11.559981,38.015562,0.0,197.791816,3.6e-05,207.253564,1.178293,0.000363,1.415751,118665,54423160,318352
psse1,14318,11028,0.001,42,1,A_real x S,segfold-dtonly,51014,634250,,0.295581,0.671875,908,337283,633916,12.432862,55.423041,0.0,180.246187,0.0,201.664661,1.321657,0.085526,1.899185,185451,108847215,633135
psse1,14318,11028,0.002,42,1,A_real x S,segfold-dtonly,101088,1265734,,0.314094,0.785156,4603,672553,1264560,12.52111,60.21504,0.0,175.54595,4e-05,201.182781,1.358163,0.123209,2.283387,354902,217694430,1261439
psse1,14318,11028,0.004,42,1,A_real x S,segfold-dtonly,234337,2532127,,0.249267,0.636719,18734,1304565,2527613,10.805494,45.957617,0.0,192.180462,0.000175,195.458297,1.061565,0.02589,4.165322,676842,435387965,2515782
psse1,14318,11028,0.008,42,1,A_real x S,segfold-dtonly,489388,5063578,,0.230136,0.617188,59940,2535026,5045338,10.346756,41.581277,0.0,197.110781,5.9e-05,194.098208,0.952925,0.013347,5.649366,1315136,870775930,4996962
psse1,14318,11028,0.016,42,1,A_real x S,segfold-dtonly,965518,10126080,,0.230877,0.6875,124909,4994940,10053636,10.487717,41.441141,0.0,196.936608,0.00018,192.815965,0.925658,0.006282,6.59721,2560922,1741552755,9863168
Franz6,7576,3016,0.0005,42,2,S x A_real^T,segfold-dtonly,13279,69246,,0.143508,0.433594,35,15947,69222,5.2147,21.032081,0.0,225.863619,0.001807,202.354168,12.628888,0.0,0.933579,9122,8591184,69164
Franz6,7576,3016,0.001,42,2,S x A_real^T,segfold-dtonly,21979,137042,,0.166941,0.523438,160,39795,136965,6.235134,23.996588,0.0,221.727558,0.016061,209.215842,13.886938,0.0,1.067974,31053,8591184,136708
Franz6,7576,3016,0.002,42,2,S x A_real^T,segfold-dtonly,38226,274320,,0.187471,0.488281,918,94496,273921,7.176267,25.692644,0.0,218.388505,0.038717,211.778004,13.889604,0.0,0.845132,113053,8591184,272912
Franz6,7576,3016,0.004,42,2,S x A_real^T,segfold-dtonly,70057,548956,,0.196826,0.507812,3896,214623,547439,7.835848,27.292719,0.0,214.994761,0.077266,214.659706,11.852078,0.0,0.797008,429253,8591184,543457
Franz6,7576,3016,0.008,42,2,S x A_real^T,segfold-dtonly,133065,1096798,,0.190469,0.515625,13257,472343,1090949,8.242573,26.682584,0.0,214.429963,0.109533,216.091234,10.799857,0.000218,0.584301,1659194,8591184,1075323
Franz6,7576,3016,0.016,42,2,S x A_real^T,segfold-dtonly,257902,2201260,,0.180768,0.597656,25036,1025853,2177160,8.535258,24.253278,0.0,215.684853,0.123109,216.456891,9.974386,0.001031,0.490209,6434533,8591184,2115661
Franz6,7576,3016,0.032,42,2,S x A_real^T,segfold-dtonly,487326,4396996,,0.177066,0.550781,29950,2205572,4300121,9.022699,23.323371,0.0,214.853262,0.109052,215.992311,8.495028,0.001034,0.4963,24495414,8591184,4059848
Franz8,16728,7176,0.0005,42,2,S x A_real^T,segfold-dtonly,54998,360406,,0.179983,0.5,209,110134,360292,6.553075,24.397833,0.0,221.612095,0.011128,209.247409,14.170279,0.0,1.029619,94695,45065232,359934
Franz8,16728,7176,0.001,42,2,S x A_real^T,segfold-dtonly,95284,720560,,0.206659,0.539062,1246,261892,720205,7.562235,27.248678,0.0,216.682423,0.027864,211.915663,13.252068,0.0,1.012772,350986,45065232,718795
Franz8,16728,7176,0.002,42,2,S x A_real^T,segfold-dtonly,171690,1438822,,0.225692,0.59375,5749,588701,1437228,8.380348,31.233298,0.0,210.533316,0.042181,215.294123,9.915697,0.00053,0.952414,1339601,45065232,1431535
Franz8,16728,7176,0.004,42,2,S x A_real^T,segfold-dtonly,322935,2881420,,0.216356,0.546875,22640,1295925,2875049,8.922601,32.815421,0.0,207.177401,0.064131,217.365361,7.184765,0.00414,0.713202,5224475,45065232,2852567
Franz8,16728,7176,0.008,42,2,S x A_real^T,segfold-dtonly,641003,5760266,,0.193021,0.652344,56081,2773840,5733782,8.986332,28.4367,0.0,210.729937,0.07865,218.567114,6.756805,0.002802,0.5123,20452535,45065232,5646587
Franz8,16728,7176,0.016,42,2,S x A_real^T,segfold-dtonly,1261517,11518122,,0.175018,0.617188,74040,5866677,11407958,9.130374,25.124502,0.0,213.104932,0.052243,218.680432,6.4074,0.001525,0.451809,79618017,45065232,11067578
gemat1,4929,10595,0.0005,42,2,S x A_real^T,segfold-dtonly,14890,108817,,0.09866,0.203125,1415,50899,101727,7.308059,8.970047,0.0,230.436199,0.0,224.897246,1.713298,0.0,0.755406,56127,13650507,96104
gemat1,4929,10595,0.001,42,2,S x A_real^T,segfold-dtonly,34725,218350,,0.083663,0.214844,2139,102752,195508,6.287977,6.606076,0.0,234.439453,0.000403,227.521987,4.780158,0.0,0.504363,182911,13650507,184529
gemat1,4929,10595,0.002,42,2,S x A_real^T,segfold-dtonly,73293,436550,,0.077971,0.203125,804,199701,372464,5.95623,5.528018,0.0,235.981199,0.0006,228.647483,6.415879,0.0,0.291897,596156,13650507,358250
gemat1,4929,10595,0.004,42,2,S x A_real^T,segfold-dtonly,150482,873185,,0.074857,0.21875,4112,391686,720722,5.802588,4.866828,0.0,236.806249,0.000565,228.932749,7.380816,0.0,0.235463,2102322,13650507,703723
gemat1,4929,10595,0.008,42,2,S x A_real^T,segfold-dtonly,300062,1744991,,0.074034,0.222656,16695,776327,1413301,5.815435,4.472352,0.0,237.027294,0.00049,228.426382,8.188488,6.3e-05,0.203601,7782412,13650507,1386305
gemat1,4929,10595,0.016,42,2,S x A_real^T,segfold-dtonly,578589,3488719,,0.075969,0.238281,53745,1549391,2788821,6.029702,4.34402,0.0,236.547202,9.9e-05,227.091925,9.015489,0.001167,0.212997,29564716,13650507,2722415
gemat1,4929,10595,0.032,42,2,S x A_real^T,segfold-dtonly,1059169,6979481,,0.082415,0.289062,107878,3120098,5501390,6.589582,4.60455,0.0,234.908446,0.000345,224.634097,9.869785,0.04555,0.251563,113156409,13650507,5285292
lp_woodw,1098,8418,0.0005,42,2,S x A_real^T,segfold-dtonly,19029,151281,,0.156682,0.34375,1574,65750,145228,7.950024,23.147459,0.0,217.389511,0.007778,211.775028,4.256661,0.0,1.254296,58755,18941961,140980
lp_woodw,1098,8418,0.001,42,2,S x A_real^T,segfold-dtonly,38561,302626,,0.139366,0.351562,3407,139703,279898,7.847981,18.358912,0.0,221.350328,0.00682,220.060579,4.007157,0.0,0.831825,174483,18941961,266287
lp_woodw,1098,8418,0.002,42,2,S x A_real^T,segfold-dtonly,87757,606584,,0.111224,0.304688,8404,265586,524705,6.912087,12.236448,0.0,228.127249,0.007623,225.335255,5.370318,0.0,0.477671,575173,18941961,486674
lp_woodw,1098,8418,0.004,42,2,S x A_real^T,segfold-dtonly,195015,1212713,,0.093522,0.335938,16723,474194,945700,6.218563,8.320288,0.0,232.540948,0.015071,227.61404,7.267067,0.0,0.24756,1944067,18941961,857305
lp_woodw,1098,8418,0.008,42,2,S x A_real^T,segfold-dtonly,399586,2420784,,0.086867,0.351562,24972,840580,1635479,6.05823,6.460219,0.0,234.011364,0.010563,227.656292,8.804645,0.0,0.169798,6380152,18941961,1465075
lp_woodw,1098,8418,0.016,42,2,S x A_real^T,segfold-dtonly,777808,4842087,,0.084748,0.363281,41195,1553960,2834583,6.225299,5.254956,0.0,234.326105,0.00048,226.789334,9.903364,0.000116,0.158974,21041031,18941961,2455741
lp_woodw,1098,8418,0.032,42,2,S x A_real^T,segfold-dtonly,1439056,9687727,,0.087386,0.34375,61769,2943789,4970470,6.732001,4.378397,0.0,233.628873,1e-06,224.427263,11.564432,0.0014,0.171449,67076628,18941961,3975402
pcb3000,3960,7732,0.0005,42,2,S x A_real^T,segfold-dtonly,26809,222554,,0.191364,0.421875,3913,100667,213665,8.301466,31.053303,0.0,209.734567,0.008467,209.316125,4.533403,0.0,1.433026,61067,27819836,195673
pcb3000,3960,7732,0.001,42,2,S x A_real^T,segfold-dtonly,51747,444398,,0.151422,0.34375,897,244071,413101,8.587899,21.069221,0.0,217.50687,0.000754,219.777282,3.613697,0.000483,0.884322,206041,27819836,365590
pcb3000,3960,7732,0.002,42,2,S x A_real^T,segfold-dtonly,107578,885684,,0.115976,0.304688,2831,488799,776105,8.232947,11.300861,0.0,226.266718,0.00013,223.261643,3.958895,4.6e-05,0.55674,704930,27819836,669095
pcb3000,3960,7732,0.004,42,2,S x A_real^T,segfold-dtonly,235570,1775802,,0.096553,0.308594,9201,945991,1460655,7.53832,6.628187,0.0,231.263446,0.000102,225.02058,5.370667,0.000395,0.362258,2435823,27819836,1207875
pcb3000,3960,7732,0.008,42,2,S x A_real^T,segfold-dtonly,508360,3557159,,0.085592,0.304688,25046,1753642,2683876,6.997323,4.155146,0.0,234.080276,0.0,225.565275,6.920267,0.000527,0.269413,8452627,27819836,2144497
pcb3000,3960,7732,0.016,42,2,S x A_real^T,segfold-dtonly,1055872,7116006,,0.080913,0.296875,53162,3156076,4820051,6.739459,2.926748,0.0,235.283645,4e-06,225.006758,8.820929,0.000627,0.212156,29098105,27819836,3738088
pcb3000,3960,7732,0.032,42,2,S x A_real^T,segfold-dtonly,2047414,14227516,,0.082706,0.316406,80592,5569988,8473442,6.949018,2.313837,0.0,234.829001,0.000102,222.166518,11.708787,0.007119,0.198665,98554831,27819836,6383360
psse1,14318,11028,0.0005,42,2,S x A_real^T,segfold-dtonly,36397,294349,,0.142861,0.3125,197,156712,294278,8.087178,20.518504,0.0,219.813858,0.0,218.088002,3.232547,0.0,1.140204,125899,36843240,294062
psse1,14318,11028,0.001,42,2,S x A_real^T,segfold-dtonly,79331,589004,,0.10709,0.226562,942,323805,588732,7.424639,11.615938,0.0,228.678726,0.002433,223.14466,5.180383,0.0,0.588509,474146,36843240,587979
psse1,14318,11028,0.002,42,2,S x A_real^T,segfold-dtonly,164256,1177496,,0.098775,0.246094,4177,650215,1176390,7.168664,9.590188,0.0,230.787807,0.001735,224.872492,5.569386,0.0,0.425379,1744062,36843240,1173887
psse1,14318,11028,0.004,42,2,S x A_real^T,segfold-dtonly,335842,2353124,,0.095022,0.253906,16083,1284712,2348289,7.00664,8.6979,0.0,231.761477,0.002287,225.426763,6.214279,0.0,0.335831,6693906,36843240,2338453
psse1,14318,11028,0.008,42,2,S x A_real^T,segfold-dtonly,675666,4708691,,0.093691,0.308594,52740,2558773,4689918,6.968962,8.248503,0.0,232.11745,0.004943,225.715738,6.33151,3.8e-05,0.298461,26101172,36843240,4650290
psse1,14318,11028,0.016,42,2,S x A_real^T,segfold-dtonly,1315724,9421692,,0.095838,0.351562,104126,5108130,9346902,7.160842,8.298215,0.0,231.575004,0.009725,224.675023,6.733771,0.0,0.300618,102133824,36843240,9188965
